CODE #,CODE TYPE,NARRATIVE,M/F
23221,VC,DRINK ALC IN VEH ON HWY,I
22520.6(A),VC,VEND/ETC:HWY RESTSTOP/ETC,I
21655(B),VC,SPEC VEH:DRIVE WRONG LANE,I
21701,VC,INTERFERE W/DRIVER CNTL,I
11819(B),VC,LEND VEH SALES LICENSE,M
23116(B),VC,RIDE BACK MOTORTRUCK VIOL,I
22356(B),VC,EXCEED POSTED SPEED LIMIT,I
22406(A),VC,TRUCK/ETC EXCEED 55 MPH,I
21453(B),VC,TURN ONTO ONEWAY AT RED,I
21453(C),VC,FAIL STOP LINE/ETC AT RED,I
22407,VC,TRUK/ETC XCEED POSTED MPH,I
24003,VC,VEH WITH UNLAWFUL LAMPS,I
24602(A),VC,FOG TAILLAMPS VIOL,I
22526,VC,INTERSECT/ETC:NO CLEARNCE,I
22502,VC,PARALLEL PARKING VIOL,I
27400,VC,HEADSET/ETC VIOL:VEH/BIKE,I
2815,VC,FAIL OBEY SCH XING GUARD,I
21205,VC,FAIL OPR BIKE W/1 HAND +,I
11307(A),VC,VEH VERFIER FAIL KEEP REC,I
20008(A),VC,FAIL REP ACCIDENT:INJ/DTH,I
21209,VC,MOTOR VEH IN BIKE LANE,I
24953(A),VC,TURN SIGNAL LAMP VIOL,I
21655.8(A),VC,EXPRS:SOLID YEL LINES VIO,I
21751,VC,PASS W/O ENOUGH CLEARANCE,I
5753,VC,OWN FAIL GIV/ETC CERT/REG,I
5753,VC,DLR FAIL GIV/ETC CERT/REG,M
9850,VC,OPR UNDOC VES W/O NUMBERS,I
9853.2,VC,UNDOC VES FAIL DISPL #,I
22349(B),VC,EXC 55MPH SPEED:2 LANE RD,I
12500(C),VC,OPR VEH W/O LIC:PARK LOT,I
21460.5(C),VC,DRIVE 2WAY LEFT TURN LANE,I
21950(A),VC,FAIL YIELD TO PED:XWALKS,I
24406,VC,LIGHT DIMMER SWITCH VIOL,I
658(A),HN,TOW SKI/ETC:NO OBSRVR 12+,M
21204(B),VC,BIKE PASSENGER NOT SEATED,I
21654(A),VC,SLOW VEH IN LEFT LANE,I
21800(A),VC,FAIL YIELD INTERSECT:HWY,I
22516,VC,FAIL PROVIDE ESC:LOCK VEH,I
24407(B),VC,LOWBEAM GLARE VIOLATION,I
25106(A),VC,FRONT FENDER/ETC LAMP VIO,I
22100.5,VC,WRONG LANE UTURN VIOL,I
27156(A),VC,OPR/ETC GROSS POLLUTER,I
38506,VC,PASSENGER VIO:ALL TERRAIN,I
4000.2,VC,O-O-S VEH:NO REG/SMOG CRT,I
27605,VC,OPR UNAUTH POLICE VEHICLE,I
21466.5,VC,LITE ON HWY:IMPAIR VISION,I
21201(B),VC,BIKE HANDLEBAR ABV SHLDS,I
14606(A),VC,HIRE/ETC UNLICENSED DRIVR,I
21708,VC,DRIVE OVER FIRE HOSE,I
22352(A),VC,EXCEED PRIMA FACIE SPEED,I
4462(C),VC,UNLAWF POSS VEH REG/ETC,M
21116(A),VC,DRIV LEVEE/ETC NO RT O WY,I
22348(C),VC,SPEC VEH:WRONG PASS LANE,I
21455,VC,NON INTERSCTN SIGNAL VIOL,I
22109,VC,SUDDEN STOP:W/O SIGNALING,I
21800(D),VC,FAIL STOP/YIELD:INOP SIGN,I
655.6(A),HN,BUI:OPR VES/ETC -21,I
27317,VC,SEL/ETC PREV DEPLOY AIRBG,M
24951(B),VC,TURN SIGNAL VIOLATION,I
21659,VC,VIOL:THREE-LANE HIGHWAY,I
21712(A),VC,ALLOW UNLAWF RIDE/ETC:VEH,I
24408,VC,BEAM INDICATOR VIOL:VEH,I
24403,VC,FOG LAMPS VIOL,I
22409,VC,EXCEED SPEED FOR TIRE/WT,I
15275(A),VC,NO COMMERCIAL VEH LIC/ETC,I
21460(B),VC,SOLID/BROKEN DBL LINE VIO,I
32002(B),VC,TRANSPORT HAZ MAT W/O LIC,M
12815(A),VC,LIC LOST/ETC:DESTROY ORIG,I
25102,VC,SIDE LAMPS VIOL,I
25109,VC,FRONT RUNNING LAMPS VIOL,I
9866,VC,IMPROPER #:UNDOC VESSEL,I
21651(A),VC,DIV HWY:CROSS/U TURN VIOL,I
12519(A),VC,FARM LABR VEHICLE LIC VIO,M
21451(B),VC,GRN ARROW VIO:U-TRN/YLD/E,I
21451(C),VC,GRN SIGNAL VIO:PEDESTRIAN,I
21953,VC,PEDSTRN FAIL 2 YLD:OVRHD,I
23302(A),VC,REFUSAL TO PAY TOLLS/ETC,I
27000(A),VC,VEHICLE HORN VIOLATION,I
22411,VC,MOTOR SCOOTER XCEED 15MPH,I
21203,VC,MTRCYCL/ETC ATT 2 VEH/ETC,I
21454(C),VC,ENTR/ECT LANE W RED SIG,I
658.5,HN,OPR MOTOR VES +15HP:-16YR,I
40001(A),VC,UNLAW DIRCT DRV OPR/HWY,I
12500(D),VC,OPR VEH/ETC W/O LIC TYP,I
21235(C),VC,OP MOTR SCOOTR W/O HELMET,I
23550(A),VC,DUI W/PR SPEC CONVICTIONS,M
23550(A),VC,DUI W/PR SPEC CONVICTIONS,F
21204(A),VC,BIKE OPERATOR NOT SEATED,I
21806(C),VC,PED FT YIELD/ETC:EMRG VEH,I
22111(B),VC,IMP METH:RHT HAND TRN SIG,I
26452,VC,VEH BRK SYS VIOL:MTR FAIL,I
27900(A),VC,HIRE VEH/ETC:ID DSPL VIOL,I
35111,VC,PASNGR VEH LOAD VIOLATION,I
27907,VC,TOW TRK/ETC ID INFO VIOL,I
22521,VC,PARK ON OR NEAR RR TRACK,I
4000.4(A),VC,UNREG CA BASED VEHICLE,I
5011(A),VC,IDENT PLATE DISPLAY VIOL,I
22504(A),VC,STOP/PARK ON ROADWAY,I
21462,VC,ALL TRAF/ETC OBEY SIGNALS,I
22517,VC,VEH DOOR OPEN TO TRAFFIC,I
24605(A),VC,TOW TRUCK TAILLAMP VIOL,I
24605(B),VC,TOW TRK TAIL/STOP LMP VIO,I
38335,VC,HEADLAMP VIOLATION,I
658.3(A),HN,OPR MTRBOAT W/O FLT DEVCE,I
5900(A),VC,FAIL NOTE DMV:VEH SEL/ETC,I
11729(A),VC,DLR FAIL COMPLY:AGREEMENT,M
23225(A)(1),VC,OWNER/DRIVER:OPEN ALC:VEH,I
32000.5(A),VC,VIOL HAZ MAT LIC DISP,M
34501.12(G),VC,CARRIER:OPR W/O CHP INSP,M
35783,VC,PERMIT VIOL:DISPLAY/ETC,M
35784(A),VC,PERMIT:TERMS/ETC VIOL,M
22110(A),VC,VIOL:METHOD OF SIGNALING,I
22110(B),VC,INOP SIGNL LAMP:ARM SIGNL,I
22112(A),VC,SCH BUS DRV:SGNL/STOP VIO,I
22112(B),VC,FAL LOAD/UNLD:SCH BUS STP,I
22515(A),VC,FAIL SET BRK/ETC:UNAT VEH,I
22515(B),VC,FAIL PRVENT MOVE:UNAT VEH,I
23115(A),VC,FAIL COVER RUBBISH VEH LD,I
24607(A),VC,REAR VEH REFLECTOR VIOL,I
24607(B),VC,REF:VEH MFG/REG A/1-1-65,I
20006,VC,ACCIDENT:DRIVER W/O LIC,I
22406.1,VC,COMM VEH XCEED MAX SPEED,M
39002(A),VC,BICYCLE LIC ORDNCE VIOL,I
21655.5(B),VC,FAIL OBEY TRAF LANE SIGN,I
21367(C),VC,FAIL OBEY WARNING DEVICE,I
21803(A),VC,FAIL TO YIELD UNTIL SAFE,I
23114(B)(1),VC,TRNSP AGGREGTE:CARGO VIOL,M
23114(E),VC,AGGREGATE:FAL COVER LOAD,M
27152,VC,EXHAUST PIPE VIOLATION,I
29004(A),VC,TOW VEH:SAFETY CHAIN REQ,I
21707,VC,UNAUTH VEH IN FIRE AREA,I
21966,VC,PEDESTRIAN IN BIKE LANE,I
24252(B),VC,LAMP VOLT:85 PER REQ VOLT,I
27501(B),VC,TIRE N/CONFORMANCE W/REG,I
21718(A),VC,STOP/PARK VEH ON FREEWAY,I
24603(E),VC,STOPLAMPS VIOL:N/VISIBLE,I
21228(A),VC,FL OPR MOTR SCTR:RGT CURB,I
21235(B),VC,OPR MOTOR SCOOTR:HWY:VIOL,I
40519(B),VC,FAIL TO APPEAR:WRITN PLEA,M
21456.2(A),VC,BICYCLE OPR OBEY VEH LAWS,I
27360.5(B),VC,TRNSPRT TOT-16 W/O RSTRNT,I
21711,VC,SWERVING OF TOWED VEHICLE,I
25268,VC,MISUSE:AMBER WRNING LGHTS,I
20001(B)(1),VC,HIT AND RUN:INJURY,M
20001(B)(2),VC,HIT AND RUN:DEATH/INJURY,M
21970(A),VC,VEH BLOCK XWALK/SIDEWALK,I
24007(B)(1),VC,SELL VEH W/OUT SMOG REQ,I
12509(D),VC,MISUSE INSTRUCTION PERMIT,I
22405(A),VC,UNSAFE SPEED ON BRIDGE,I
24410(A),VC,SINGLE BEAM:PROPER ADJUST,I
27156(B),VC,NOT EQUIPED W/SMOG DEVICE,I
21952,VC,FAIL YIELD PED ON SIDEWLK,I
35410,VC,REAR PROJECTION VIOLATION,I
22500(H),VC,PARK UNLAW:DOUBLE PARKING,I
27801(A),VC,MOTORCYCLE SEAT VIOLATION,I
5017(A),VC,IDENTIFICATION PLATE VIOL,I
5201(E),VC,LIC PLATE:LVSTCK TRLR VIO,I
21652,VC,UNLAWFUL ENTRY SERV ROAD,I
24012,VC,FAIL COMPLY:MOUNTING REQ,I
24407(A),VC,HIGHBEAM PROJECT 350 FEET,I
15620(A),VC,CHILD 6- ALONE IN VEHICLE,I
21113(A),VC,TRESP W/VEH ETC:PUB GRNDS,I
22410,VC,METAL TIRE:EXCESS 6MPH,I
27602(A),VC,OPR VEH WITH TV VISIBLE,I
21700,VC,OBST DRIVER VIEW/CONTROL,I
26100,VC,SELL/USE UNAP LIGHT EQUIP,I
34506(F),VC,COMMRCL VEH:EQUIP VIOL,M
38026.5(B),VC,PROH OPR OFF RD VEH HWY,I
38314,VC,UNSAFE TURNING MOVEMENT,I
34660(A),VC,OPR MCOP W/SUSP PERMIT,M
12814.6(B)(1)(A),VC,PROV LIC:NO DRIVE 11PM-5A,I
12814.6(B)(1)(B),VC,PROV LIC:NO PASNGR -20YRS,I
23123(A),VC,USE CELLPH W/DRIV W/O HFD,I
23124(B),VC,USE CELL PH W/DRIV:UND 18,I
23123.5(A),VC,NO TEXT-BASED COMM W/DRIV,I
2818,VC,ELE BEACON/CONE PATTERN,I
26708(A)(1),VC,OPR VEH:WINDOW OBSTRUCTED,I
31560(B),VC,TRNSP 10/MORE USED TIRES,I
21235(A),VC,OPR MOTORSCOOTR W/O BRAKE,I
24603(A),VC,STOPLAMPS:VEH MUST HAVE,I
38301(A),VC,UNLAWFUL VIOLATE SPEC REG,I
36 4.15(A),US,FR:FAIL WEAR SEAT BEAT,M
27802(B),VC,SELL/USE SFTY HELMET VIOL,I
21804(B),VC,FAIL YEILD RIGHT-OF-WAY,I
38010(A),VC,OFF HWY VEH DISPLY ID PLT,I
23223(A),VC,DRIVER POSS OPEN ALC CONT,I
23223(B),VC,PASSENGER:W/OPEN ALC CONT,I
21809(A),VC,FAL CAUTION PASS EMGY VEH,I
23302(A),VC,PERSON FAIL TO PAY TOLL,I
23546(A),VC,3RD DUI CONV WITHIN 10YRS,M
21223(A)(1),VC,OP MOTORSCTR:DRK HWY:LAMP,I
21223(A)(2),VC,OP MOTRSCTR:DRK HWY:R/REF,I
21223(A)(3),VC,OP MOTRSCTR:DRK HWY:S/REF,I
21960(A),VC,PEDESTRIAN/ETC ON FREEWAY,I
21201.3(B),VC,UNAUTH FLASHING BLU LIGHT,I
21208(A),VC,FAIL TO RIDE IN BIKE LANE,I
21452(B),VC,PED FAIL RESPOND SIGNAL,I
25400(B),VC,DIFFUSED LIGHT:NO RED,I
23573(I),VC,FAIL INSTAL INTRLCK DEVCE,M
36 4.4(B),US,FR:TOW/MOVE VEH:FAIL REPT,M
36 261.54(D),US,FR:OPR VEH:VIOL SPEED ETC,M
21465,VC,UNAUTH DSPLY TRAFF DEVICE,I
21801(B),VC,FAIL YIELD:TURNING VEHICL,I
23113(A),VC,FAIL REMOVE SPILLED MATRL,I
21951,VC,OVRTAKE VEH STOPPED XWALK,I
25106(B),VC,LAMP REQUIREMENT VIOLATIO,I
25650,VC,MOTORCYC H/LAMP:1REQ/2PRM,I
27803(A),VC,DRV/PASS WEAR APRV HELMET,I
31402(B)(1),VC,OPR LABR VEH W/SAFETY HAZ,M
31405(D),VC,FRM LABR VEH:WOUT SEATBLT,I
25250,VC,ILLEGAL FLASHING LIGHTS,I
21720,VC,POCKET BIKES PROHIB AREA,I
26708(A)(2),VC,OPR VEH:WINDOW OBSTRUCTED,I
38312,VC,ILLEGAL MOVEMENT OF VEH,I
22406(B),VC,EXCESS SPEED WHILE TOWING,I
38170(A),VC,UNLAWFUL DISPLAY ID PLATE,I
38355(A),VC,INADEQUATE BRAKE SYSTEM,I
9400.1(F),VC,FAIL TO DISPLAY WGT DECAL,I
27002,VC,NON EMERG VEH W/SIREN,I
21235(D),VC,OP MOTR SCOOTR W/O LICNSE,I
21235(G),VC,OPR MOTR SCOOTER SIDEWALK,I
21201(A),VC,OPR BIKE W/O BRAKES,I
27375(A),VC,OPERATE LIMO W/O EXITS,I
27375(B),VC,FAIL UNLOCK LIMO:EMERGNCY,I
34620(C)(1),VC,TOWING VEHICLE W/O PERMIT,M
34620(C)(2),VC,RELEASE VEH TOW W/O PRMT,M
38603(A),VC,REC VEHICLE:ILLEGAL SEAT,I
38603(B),VC,REC VEH:UNPROTECTED SEAT,I
38604(A),VC,REC VEH:NO PASS HANDHOLD,I
15309.5(A),VC,CHEAT ON COMM DRIVER EXAM,I
15309.5(A),VC,CHEAT ON COMM DRIVER EXAM,M
21655.9(B),VC,HOV LANE W/O ISSUED DECAL,I
21235(E),VC,OPR MOTR SCOOTR W/PASSNGR,I
21760(B),VC,PASS BIKE UNSAFE DISTANCE,I
21760(C),VC,PASS BIKE:-3 FEET,I
21760(D),VC,PASS BIKE UNSAFE SPEED,I
21760(E)(2),VC,PASS BIKE:COLLISION W/INJ,I
5200(A),VC,DISPLAY LIC PLATES WRONG,I
5200(B),VC,DISPLY ONE LIC PLATE WRNG,I
23109.1,VC,ILLEGAL SPEED CONTEST:INJ,M
23109.1,VC,ILLEGAL SPEED CONTEST:INJ,F
24603(D),VC,STOPLAMPS:VEH 2 REQUIRED,I
655.2(A),HN,VESSEL EXCEED SPEED LIMIT,I
652.5(D),HN,VESSEL BLU LGT:RED SPEED,I
23123.5(A),VC,NO HND HLD DEVICE W/DRIVE,I
14601.2(D)(2),VC,DRIV:LIC SUSP DUI W/PRIOR,M
4000(A)(1),VC,NO REG:VEH/TRAILER/ETC,I
652(C),HN,OPR VSL W/O PROPER EQUIP,I
14601.1(B)(2),VC,DRV:LIC SUSP W/PR W/I 5YR,M
14601.5(D)(2),VC,DRV:LIC SUS DUI PR W/5 YR,M
658(A),HN,TOW SKI/ETC:NO OBSRVR 12+,I
22451(B),VC,NO DRVR PED THRU RR GATE,I
22500.1,VC,NO PARK/STOP ETC FIRE LN,I
21656,VC,DRV BLW NRMAL SPD 5+BHND,I
22452(B),VC,BUS/ETC FAIL STOP RR XING,I
4000.6,VC,UNREG COMM MTR VEH 10000+,I
9400,VC,COMMERC VEH WGHT FEES DUE,I
15240(A),VC,EMPL ALLW DRIVER COMM VEH,I
23117,VC,TRNSPRT OF ANM W/O RSTRNT,I
24411,VC,AUX LMPS NOT COVERD W/DRV,I
24950,VC,TRN SIG REQ - TOWING TRLR,I
25251(A),VC,TRN SIG FLSHD VEH DISABLE,I
29001,VC,5TH WHL CONNECT DEVC REQ,I
29002,VC,5TH WHL LOCKING DEVC REQ,I
22456(E),VC,VEND FROM ICE CRM TRK REQ,I
22455(A),VC,VEND FROM VEH W/O STOP,I
2476,VC,POSS OF INEDIBLE KTCH GRS,I
21715(A),VC,EXCD PASS VEH TW COMB LMT,I
21715(B),VC,EXCD PASS VEH TW COMB LMT,I
22658(G)(1)(B),VC,UNINTERRUPTED TOWS,I
27700(A),VC,TOW TRK VIOL OF EQUIP REQ,I
25253(A),VC,WARNING LAMPS ON TOW TRK,I
29006(A),VC,INCORR COUPLING TOWED VEH,I
25110(A)(1),VC,FLOOD LAMP EXCEEDS 75 FT,I
5201(B),VC,TEMP LIC PLATE NOT RPLCED,I
26304(A),VC,BREAKAWAY DEVICE REQ VEH,I
35401(A),VC,OVERLENGTH - VEH COMBO,I
24004,VC,OPERATE AFTER NTC BY OFCR,I
35100(A),VC,VEH/LOAD EXCEDS WIDTH 102,I
35101,VC,VEH PNEU TIRES EXCD WIDTH,I
35104,VC,SPEC VEHICLE EXCEDS WIDTH,I
35250,VC,VEH/LOAD EXCEDS HGT 14 FT,I
35251,VC,BOOM/MAST NOT SECURE,I
35400(A),VC,VEHICLE EXCEEDS LEN 40 FT,I
35401(B),VC,TRUCK/TRLER EXCEED LENGTH,I
35406(A),VC,VEH LD EXTNDS 3+ FT FRNT,I
35551.5,VC,GROSS VEH WGHT VIOL COMBO,I
25103(A)(B),VC,VEH LD LFT 1+ FT AMB LMP,I
25103(B),VC,VEH LD LFT 1+ FT RED LMP,I
25104(A),VC,RED FLG REQ OVERWIDTH DAY,I
35783.5,VC,WRN SIG NOT RMVED W/O LD,I
25270,VC,IMPRP USE WRN LAMPS PILOT,I
27904,VC,FLR/DISP COMP NM PILOT CR,I
27904.5,VC,FLR/DISP ID SIG PILOT CAR,I
28100,VC,FLR/DISP RED WRN FLG PILT,I
28101,VC,NONCOMP PILOT CAR DESIGN,I
27901,VC,NME/TRDMK ON FOR-HIRE VEH,I
27909,VC,VIS SIGN VEH LIQ PET/GAS,I
24608(A),VC,LGHT REFL TRK/TRLR FR/SID,I
24608(B),VC,LT REFL 30+TRK/TRLR FR/SD,I
24612(A),VC,FLR DISP REFL MAT ON TRLR,I
25100(A),VC,CLEAR/SIDE MARKR LAMP REQ,I
26302(A),VC,BRAK REQ FOR TRLERS 6000+,I
26302(C),VC,BRAK REQ TRLER 6000+ 1982,I
26451(A),VC,INADEQUATE PARKING BRAKE,I
26505,VC,VEH W/AIRBRKS PRES GA REQ,I
26506(B),VC,AIR PRESS WARNING DEV REQ,I
5201(D),VC,OBSTRUCT OF LIC PLATE,I
21655.1(A),VC,DRIVE VEHICLE IN BUS LANE,I
2402.6(C),VC,FLR OBY FUEL SYS REGS,I
2402.6(E),VC,FLR POST GAS FILLING REGS,I
2510(B),VC,OPR AMBL/ARMRD W/O INSPEC,I
2525.1,VC,PLACE STICKER UNAUTH VEH,I
2572(B),VC,OPR PRVT SCHLBUS W/O LIC,I
2800(B)(2),VC,TRANSP HZMT VIOL OF O/S,I
2800(B)(3),VC,UNLAW TRANSP 16+ PASSNGR,I
2800(C),VC,FL/REF COMPLY OUTSRVC ORD,I
2807(B),VC,OPR SCHLBUS W/O CHP CERT,I
2807.1(B),VC,OPR VEH PUPL W/O CHP CERT,I
2807.3(B),VC,OPR YOUTH BUS W/O CERT,I
2814.1(B),VC,FL STP VEH INSPEC EXHAUST,I
2814.2(A),VC,FL STOP SOBRIETY CHECKPNT,I
2814,VC,FL STOP ROADSD VEH INSPEC,I
2816,VC,LOAD/DISCH CHLDRN BUS HWY,I
2817,VC,FL OBEY PO FUNERAL PROCSN,I
4000(B),VC,ON HWY VIOL POLLUTN CNTRL,I
4000.6(A),VC,FL SUBMT APP GRS VEH WGHT,I
4000.6(D),VC,CMV EXCEED DECLARED WT,I
4001,VC,FL REG EXMPT VEH DISP PLT,I
4161(A),VC,FL NTFY DMV ENG/MTR CHNG,I
4301,VC,SURRENDER EVID FORGN REG,I
4455,VC,FL DISPLAY TEMP FRGN REG,I
4458,VC,FL NTFY PLATES LOST/STOLN,I
4459,VC,FL RPLC LOST/DMG OWNR CRT,I
5017(B),VC,FLR ATTACH PERM ID PLATE,I
5017(C),VC,FL PRESENT ID CERT TO PO,I
5017(D),VC,FL APPLY TRANSF OWNR 10DY,I
5018,VC,FL TRSFR OWNRSP OF EQPMNT,I
5030,VC,FL DISP PLATE MTRZD BIKE,I
5032(A),VC,OPR MTRZD BK W/O PLT APP,I
5035,VC,FL ATTACH PLATE MTRZD BK,I
5037(A),VC,MTRZD BK W/O PLATE 1981+,I
5037(B),VC,MTRZD BK W/O PLATE -1981,I
5109,VC,TRANSF ENVIRONMENTAL PLT,I
5201(C),VC,UNLAW LIC PLATE COVERING,I
5201.1(A),VC,DVC OBSCURE LIC PLATE,I
5201.1(B),VC,OPR VEH OBSCURED LIC PLT,I
5201.1(C),VC,ALTER/ETC LIC PLT REFLEC,I
5206,VC,PRSNT PARTIAL YEAR CERT,I
5352,VC,FL MNTN YR REG TRLR COACH,I
5604,VC,NONCOMP DEALER INS REQ,I
5753(B),VC,FL SUBMIT TRANSFER DOCS,I
5753(C)(1),VC,FL PRVD CERT TRANSF OWNER,I
5753(D),VC,OWNER FL SIGN CERT TRANSF,I
5753(F),VC,FL DISCL INFO TRANSFEREE,I
5900(B),VC,FL TO NTFY DMV VEH MILEAG,I
5900(C),VC,POSSR FL NTFY DMV RE SALE,I
5906.5(A),VC,FL REC VEH MILEAG TRNSFR,I
5906.5(B),VC,TRNSFR POSSR FL REC MLG,I
6700.4,VC,FL DISP NONRES COMMTR ID,I
6700(A),VC,NEW RES FL REG W/IN 20DY,I
6700(C),VC,FL REG NONRES VEH 20DY,I
9102.5(B),VC,PRV SCHLBUS W/O TEMP PRMT,I
9564(B),VC,SCRP PROC FL SBMT CERT TI,I
9564(C),VC,RECONSTRUCT SCRAP VEH,I
9854,VC,FL APPLY 30 DY OUT ST REG,I
9872,VC,DESTROY/ETC VESSEL NUMBER,I
9901,VC,FL NTFY DMV 10 DAY TRNSFR,I
9910,VC,FL DLVR CERT TRANSFEREE,I
9912,VC,DLR FL NTFY DMV TRANSFER,I
9952,VC,PUBLISH/ETC VIOL 9950,I
10500(A),VC,FL RPT DOJ STLN VEH/PLTES,I
10502(B),VC,FL INFRM CHP STLN VEH RCV,I
10650(A),VC,TOWING SRVC FL KEEP RCRD,I
10653,VC,SHOP FL NTFY PD BLLT HOLE,I
10654,VC,FL NTFY PLACE PRVT GARAGE,M
10655,VC,FL MAINT RCRD STORED VEH,I
11515(C),VC,FL SUBMT CERT OWNERSHIP,I
11515.2(C),VC,NONRPR VEH FL SBMT CRT OW,I
12517(A)(1),VC,OPR SCHLBUS W/O DL,I
12517.5(A),VC,OPR PRTRNST VEH W/O LIC,I
12517.5(B),VC,OPR PRTRNST VEH W/O TRNG,I
12521(A),VC,TOUR BUS DRVR SAFTY BELT,I
12521(B),VC,REPORT BUS CRASH TO CHP,I
12522(A),VC,BUS DRIVER NO MEDIC QUAL,I
12523(A),VC,OPR YOUTH BUS W/O CERT,I
12523(D),VC,NONCOMP YOUTH BUS REQ,I
12523.5(A),VC,PARATRANST SPEC ENDORSMNT,I
12523.5(D),VC,YTH BUS OPRTR REGS,I
12523.6(A)(1),VC,DSBLD DRVR REGS,I
12523.6(D),VC,DSBLD DRVR W/O APPROP CLS,I
12524,VC,HAUL RADIOACTV W/O CERT,I
12804.11(A),VC,OPR FIREFHT EQUP W/O LIC,I
12804.6(A),VC,OPR TRANST BUS W/O CERT,I
12804.6(F),VC,DRV TRANSIT BUS W/O CERT,I
12814.6(A)(1),VC,FL CARRY PROV LIC -18 Y/O,I
12814.6(B)(1)(A),VC,VIOL PROVISIONAL LIC REQ,I
12815(B),VC,FL OBT DUP LIC AFTER LOST,I
12950(A),VC,FAIL SIGN DRIVER LIC,I
12952,VC,FL DISPLAY LIC COURT REQ,I
13003(A),VC,FL APPLY ORIG DL VC 13000,I
13003(B),VC,FL REPLACE/SURRENDER ID,I
14601.5(A),VC,DRV LIC SUSP/ETC UI/RFSL,I
14605(A),VC,UNLIC PRK LOT ATNDNT DRV,I
14605(B),VC,HIRE UNLIC PRK LOT ATNDNT,I
14606(B),VC,FL RPRT 10 DY COMMERC EXM,I
14606(C),VC,FL OBT MEDCL CERT COMMERC,I
14608(A),VC,RENT VEH W/O LIC/INSPEC,I
14609(A),VC,FL MNTN RECRDS RNTL VEH,I
14609(B),VC,RENT VEH TO UNLIC DRVR,I
14611(A),VC,TRANSP RDCTV W/O LIC,I
15220,VC,COMM DRVR FL RPT OOS CONV,I
15222,VC,COMM DRVR FL RPT CONV EMP,I
15224,VC,COMM DRVR FL RPT SUSP LIC,I
15226,VC,COMM DRVR FL RPT VIOL EMP,I
15228,VC,COMM DRVR FL RPT VIOL DMV,I
15240(B),VC,EMPL DRV COMM VEH MULT LC,I
15240(C),VC,EMPL DRV COMM VEH W/ORDER,I
15240(D),VC,EMPL DRV COMM VEH VIOL LW,I
15250(A)(2),VC,DRV W/O HAZ MAT ENDRSMNT,I
15309.5(A)(2),VC,IMPERS APP COMMERC DL,I
15309.5(A)(3),VC,PRVD UNAUTH ASST EXAM CDL,I
15500,VC,MNR PURCH/LSE VEH W/O LIC,I
16000(A),VC,ACCDNT RPRT W/I 10 DAYS,I
16002(A),VC,FL RPRT WORK ACCIDENT,I
16002(B),VC,FL EMPLR RPRT COLLISION,I
16003,VC,FL RPRT ACCDNT INCAPABLE,I
16020.3,VC,VAN PL FL PRVD PRF FINAN,I
16050.5,VC,FL OWNR PRVD INS INFO ACC,I
16457,VC,DRIVE W/O PROOF INS FILED,I
16502(A),VC,FL MNTN PRF FINAN VEH BUS,I
20004,VC,DELAY RPRT ACCDNT DEATH,I
20008(B),VC,FL REPORT ACCIDENT 24 HRS,I
20010,VC,VEH PASSENGER FL RPRT ACC,I
20011,VC,FL PRVD CORONR RPT CHP,I
21070,VC,UNSAFE OPR VEH INJ GBI,I
21201(C),VC,OPR UNSAFE BIKE ON HWY,I
21201.5(A),VC,SELL TIRE W/O REFLECTR,I
21201.5(B),VC,SELL BICYCLE W/O REFLECTR,I
21207.5(A),VC,ILL OPR MOTORIZED BICYCLE,I
21208(B),VC,UNSF TURN FROM BIKE LANE,I
21211(A),VC,ILL IMPD BCYCL LN ST/STND,I
21211(B),VC,ILL IMPEDE BCYCL LN PARK,I
21212(C),VC,SALE OF ILLGL BIKE HLMT,I
21213(A),VC,OPR CLS 3 ELEC BICYLE -16,I
21213(B),VC,VIOL HELMET REQ CLASS 3,I
21215(A),VC,PEDICAB FL FOLLOW REQ,I
21215.2(A),VC,ALC BEVERAGE PEDICAB,I
21226(A),VC,SL MTRZD SCTR EXCEED NS L,I
21226(B),VC,VIOL MTRZD SCTR MUFLR REQ,I
21226(C),VC,OFF HWY MTRZD SCTR MUFLR,I
21226(D),VC,VIOL MTRZD SCTR NOISE LVL,I
21227(B),VC,OPR UNLAW MOTORZED SCOOTR,I
21228(D),VC,FL DSMNT MTRZD SCTR RT TR,I
21229(A),VC,FL OPR MTRZD SCTR BIKE LN,I
21229(B),VC,UNSAFE TURN MTRZD SCOOTER,I
21235(F),VC,OPR MTRZD SCOOTER NO HAND,I
21235(H),VC,OPR MOTR SCTER HNDLBR ABV,I
21235(I),VC,LV MOTR SCOOTER SIDEWALK,I
21235(J),VC,ATTCH MTR SCOOTER DRV VEH,I
21260(A),VC,ILL OPR LOW SPEED VEHICLE,I
21260(B)(2),VC,LW SPEED VEH UNCNTRL INTR,I
21281.5(A),VC,ILL OPR ELEC AST MOBL DVC,I
21281.5(B),VC,ELEC AST MOBL DVC SPEED,I
21281.5(C),VC,ELEC AST MOBL DVC DISRGRD,I
21281.5(D),VC,ELEC AST MOBL DVC FL YLD,I
21281,VC,ELEC MOBL DVC W/O SFTY,I
21291,VC,OPR ELEC MTR BOARD -16,I
21292,VC,OPR ELEC MTR BRD W/O HLMT,I
21293(A)(1),VC,ELEC MTR BOARD FRNT LIGHT,I
21293(A)(2),VC,ELEC MTR BOARD REAR RFLCT,I
21293(A)(3),VC,ELEC MTR BOARD SIDE RFLCT,I
